id;Name;Title;Publication;Year;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Music;Composer;Music_year;Source;Notation;Music_gtitle;Comment_m;;
89;Головин, П.М.?;Рано солнышко играешь;Вестник Европы, 1821, № 15. С. 185;1821;;на голос: при долинушке стояла;1821;periodical;Х43ж;reg;rhymed;core;;;;;;;;;
90;Горчаков, В.;Что грустишь ты, добрый молодец;БдЧ. 1839, т. 35. Лит. Летопись. С. 10-11. / Стих. Вл. Горчакова. М., 1839;1838;Русская песня;;1839;periodical;Х4д + Пс2;unreg;unrhymed;core;;;;;;;;;
91;Горчаков, В.;Под тою ли под сосною;Горчаков, В. Стихотворения. М., 1839. С. 19-20;1839;Цветок;рец. Лит. Прибавл. К РИ 1839, № 8, 26 авг. Разгромная;1839;collection;Я3д;unreg, перебои;unrhymed;core;;;;;;;;;
92;Горчаков, В.;Сторона моя, сторонушка;Горчаков, В. Стихотворения. М., 1839. С. 26-27;1839;Русская песня;;1839;collection;Я3д;unreg, перебои, Х4д;unrhymed;core;;;;;;;;;
93;Горчаков, В.;Что ты пташечка;Горчаков, В. Стихотворения. М., 1839. С. 28-29;1839;Русская песня;;1839;collection;Пс;unreg, Ан1дж;unrhymed;core;;;;;;;;;
94;Грамматин, Н.Ф.;Лето красное проходи скорей;Вестник Европы, 1807, № 24, с. 280, под загл. Элегия сельской девушки;1807;Элегия сельской девушки;;1807;periodical;Пс2;reg;unrhymed;core;;;;;;;;;
95;Грамматин, Н.Ф.;Ты не плачь не плачь красна девица;Досуги Грамматина. Спб., 1811.;1811;;;1811;collection;Пс2;reg;unrhymed;core;;;;;;;;;
96;Грамматин, Н.Ф.;Долго ль сердце нам с тобою тосковать;Вестн. Европы. - 1813. - Ч.67, N 1,2. - С.77-78.;1813;;;1813;periodical;Х6м;reg;rhymed;core;;;;;;;;;
97;Грамматин, Н.Ф.;Проходи ты лето красное скорей;ВЕ, 1807. Ч. 36, N 23.;1807;Песня;на голос: я не знала ни о чем в свете тужить;1807;periodical;Х6м;reg;rhymed;core;;;;;;;;;
98;Грамматин, Н.Ф.;Не шуми ты погодушка;Вестн. Европы. - 1815. - Ч.82, N 15. - С.164-166.;1815;;;1815;periodical;Ан2д;reg;rhymed;core;;;;;;;;;
99;Гребенка, Е.П.;Не калина ль в темном лесе;Отечественные записки, 1839, т. 5, с. 164-165;1839;Украинская мелодия;;1839;periodical;Х4жм + Х3м;reg;rhymed;periph;;;;;;;;;
100;Гребенка, Е.П.;Бело личко черны очи;БдЧ, 1844, т.62, № 2 с. 135;1844;Песня;;1844;periodical;Х4жм;reg;unrhymed;core;;;;;;;;;
101;Гребенка, Е.П.;Светла речка под окном твоим шумит;Метеор на 1845 г., СПб.1845. С. 111;1840;Песня (в СС);;1845;periodical;Х6м;reg;rhymed;core;;;;;;;;;
102;Гребенка, Е.П.;Молода еще девица я была;СС + ОЗ, 1841. № 11. Т. 19. Отд. 3. С. 65;1841;Песня;;1841;periodical;Х6м;reg;rhymed;core;melody;Бернард, М.И.;1852;Воспоминание: Молода еще девица я была // Le Nouvelliste.1852. № 7. С.274-275;Для голоса с фортепиано;Воспоминание;;;
103;Гребенка, Е.П.;Зеленая трава моя;Пантеон, 1841, № 1, отд. 2., с. 38;1841;Песня (в СС);;1841;periodical;Я3д + Х3ж + Ан2м (рефр);reg;rhymed;core;;;;;;;;;
